 ,mean,mean,mean,mean,mean,mean,median,median,median,median,median,median,count,count,count,count,count,count,min,min,min,min,min,min,max,max,max,max,max,max,sd,sd,sd,sd,sd,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,0.2% AA day -7,0.2% AA day 30,0.2% AA day 7,6-OHDA day -7,6-OHDA day 30,6-OHDA day 7,0.2% AA day -7,0.2% AA day 30,0.2% AA day 7,6-OHDA day -7,6-OHDA day 30,6-OHDA day 7,0.2% AA day -7,0.2% AA day 30,0.2% AA day 7,6-OHDA day -7,6-OHDA day 30,6-OHDA day 7,0.2% AA day -7,0.2% AA day 30,0.2% AA day 7,6-OHDA day -7,6-OHDA day 30,6-OHDA day 7,0.2% AA day -7,0.2% AA day 30,0.2% AA day 7,6-OHDA day -7,6-OHDA day 30,6-OHDA day 7,0.2% AA day -7,0.2% AA day 30,0.2% AA day 7,6-OHDA day -7,6-OHDA day 30,6-OHDA day 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Actinobacteria,15.3552706552707,25.3274453941121,24.3382716049383,15.3952861952862,22.5313131313131,23.8521885521886,6.65802469135803,17.4493827160494,12.7567901234568,13.6074074074074,14.2234567901235,15.4012345679012,13,13,13,11,11,11,1.39506172839506,5.28395061728395,1.81358024691358,3.7358024691358,3.82345679012346,1.92592592592593,41.4345679012346,76.8358024691358,58.7469135802469,39.9432098765432,50.9024691358025,85.4197530864198,14.0031023985941,23.3636163914541,20.6344266168121,9.69162655628887,17.1760264394049,24.1525746661907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Bacteroidetes,10.2944919278253,6.74150047483381,8.74026590693257,7.76531986531987,8.30291806958474,9.44971941638608,9.61851851851852,4.53333333333333,7.50987654320988,3.9716049382716,7.22839506172839,8.32469135802469,13,13,13,11,11,11,1.45432098765432,1.59259259259259,1.77283950617284,2.22098765432099,2.08271604938272,2.15802469135802,19.6506172839506,15.6592592592593,25.5259259259259,20.7333333333333,23.6987654320988,28.0345679012346,5.75411313926434,4.73995065160631,7.28542231659664,6.63947679966657,5.82649894949378,6.99503763163867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Deferribacteres,0.193162393162393,0.0968660968660969,0.0686609686609687,0.156004489337823,0.177665544332211,0.11358024691358,0.0839506172839506,0.0753086419753086,0.0160493827160494,0.0950617283950617,0.0950617283950617,0.0283950617283951,12,12,10,11,10,9,0,0,0,0.0123456790123457,0,0,1.50864197530864,0.303703703703704,0.327160493827161,0.533333333333333,0.820987654320988,0.84320987654321,0.403128047367026,0.0956579233158418,0.104674733788531,0.174584902106895,0.239598082495742,0.247039474078095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Firmicutes,63.0747388414055,55.4340930674264,51.8891737891738,67.2139169472503,58.168911335578,54.5773288439955,61.3703703703704,53.8765432098766,48.2802469135802,73.0061728395062,62.5925925925926,54.2185185185185,13,13,13,11,11,11,41.8395061728395,13.9037037037037,30.1543209876543,27.1283950617284,21.6333333333333,9.81604938271605,82.6111111111111,89.8888888888889,82.6123456790123,83.4592592592593,87.9543209876543,88.9555555555555,12.0429661731093,26.769039467218,15.3765910623498,16.3914852105502,22.3635340562463,21.1840983078467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Fusobacteria,0.00626780626780627,0.001329534662868,0.00294396961063628,0.00347923681257015,0.00224466891133558,0.00235690235690236,0.00246913580246914,0,0,0.00123456790123457,0,0.00123456790123457,9,4,4,6,5,8,0,0,0,0,0,0,0.0333333333333333,0.00617283950617284,0.0197530864197531,0.0111111111111111,0.0111111111111111,0.00740740740740741,0.00925873165110707,0.00222345293204049,0.00599620664390077,0.00419819100902574,0.00373722206747787,0.00243523301550896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Other,0.486324786324786,0.292782526115859,0.401899335232669,0.447923681257015,0.464646464646465,0.402020202020202,0.44320987654321,0.209876543209877,0.233333333333333,0.345679012345679,0.382716049382716,0.381481481481481,13,13,13,11,11,11,0.0666666666666667,0.0555555555555556,0.0617283950617284,0.219753086419753,0.151851851851852,0.0987654320987654,0.97037037037037,0.744444444444444,0.904938271604938,0.872839506172839,1.35679012345679,0.839506172839506,0.2895574820671,0.222339844359348,0.285766965497204,0.239943484036811,0.32037466289247,0.237743464267244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Proteobacteria,0.207407407407407,0.209781576448243,0.363532763532764,0.284960718294052,0.514814814814815,0.468237934904602,0.148148148148148,0.158024691358025,0.11358024691358,0.166666666666667,0.345679012345679,0.208641975308642,13,13,13,11,11,11,0.0469135802469136,0.045679012345679,0.0777777777777778,0.0518518518518519,0.106172839506173,0.0160493827160494,0.535802469135803,0.502469135802469,1.6679012345679,1.0320987654321,1.86172839506173,1.98271604938272,0.155666561737988,0.140687902089901,0.472699163483293,0.293015695639533,0.532130559618413,0.58548960433969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Spirochaetes,0,0.000759734093067426,0.000664767331433998,0.000897867564534231,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0.00493827160493827,0.00740740740740741,0.00617283950617284,0,0,0,0.00185448794123163,0.00205444517120455,0.00191981533708044,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Verrucomicrobia,10.3823361823362,11.8954415954416,14.1945868945869,8.73221099887767,9.8374859708193,11.1345679012346,4.99506172839506,5.94938271604938,6.30246913580247,0.774074074074074,4.25185185185185,4.89135802469136,12,12,12,11,9,11,0,0,0,0.119753086419753,0,0.245679012345679,25.4271604938272,67.5074074074074,43.0518518518519,54.0320987654321,59.7604938271605,49.0938271604938,9.92719315028505,18.2389183243186,16.8367627885108,16.472582777841,17.2876060620615,14.9197864610894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
