taxon,lfc_(Intercept),lfc_GroupPLE,se_(Intercept),se_GroupPLE,W_(Intercept),W_GroupPLE,p_(Intercept),p_GroupPLE,q_(Intercept),q_GroupPLE,diff_(Intercept),diff_GroupPLE,passed_ss_(Intercept),passed_ss_GroupPLE
 p__Cyanobacteria,-1.047072683,2.222487257,NA,0.451834172,NA,4.918811806,1,1.06E-05,1,0.000127484,FALSE,TRUE,TRUE,TRUE
 p__Firmicutes_A,1.451740481,-1.303119276,NA,0.328413705,NA,-3.967919897,1,0.000199029,1,0.002189316,FALSE,TRUE,FALSE,TRUE
 p__Bacteroidota,1.411970656,-1.265368907,NA,0.415959166,NA,-3.042050784,1,0.003525752,1,0.032602213,FALSE,TRUE,FALSE,TRUE
 p__Campylobacterota,1.549774057,-1.445111167,NA,0.470461728,NA,-3.071686986,1,0.003260221,1,0.032602213,FALSE,TRUE,FALSE,FALSE
 p__Firmicutes_B,0.195712399,0.727022878,NA,0.288734365,NA,2.517964489,1,0.017002962,1,0.1360237,FALSE,FALSE,FALSE,TRUE
 p__Fusobacteriota,-0.319517046,1.285920609,NA,0.660688886,NA,1.946333042,1,0.056825603,1,0.397779223,FALSE,FALSE,TRUE,FALSE
 p__Actinobacteriota,1.047260992,-0.701332721,NA,0.43403243,NA,-1.615853268,1,0.111461387,1,0.668768321,FALSE,FALSE,FALSE,TRUE
 p__Methanobacteriota,0.505135268,0.040461192,NA,0.179152162,NA,0.225848193,1,0.827772028,1,1,FALSE,FALSE,TRUE,TRUE
 p__Desulfobacterota,0.881443282,-0.453473381,NA,0.396623965,NA,-1.143333284,1,0.259375475,1,1,FALSE,FALSE,FALSE,TRUE
 p__Firmicutes,0.507567748,0.101625521,NA,0.284735783,NA,0.356911662,1,0.722431332,1,1,FALSE,FALSE,FALSE,TRUE
 p__Firmicutes_C,0.631681299,-0.083031225,NA,0.21766396,NA,-0.381465197,1,0.704228443,1,1,FALSE,FALSE,FALSE,TRUE
 p__Proteobacteria,0.211557359,0.509430211,NA,0.571078238,NA,0.892049771,1,0.376116706,1,1,FALSE,FALSE,TRUE,TRUE
